loan_amount,income,interest_rate,tenure,dependents,gender,education,job_duration,marital_status,loan_status
800000.0,10000.0,15.0,12.0,1.0,0,0,0.1,0,0
1000000.0,90000.0,15.0,36.0,2.0,1,2,1.0,1,1
175000.0,27000.0,15.0,30.0,0.0,1,1,1.0,0,1
500000.0,50000.0,15.0,24.0,3.0,0,0,3.5,1,1
650000.0,75000.0,15.0,39.0,0.0,0,2,0.5,0,1
650000.0,15000.0,15.0,24.0,2.0,0,0,3.0,1,0
95000.0,12000.0,15.0,24.0,0.0,1,1,0.4,0,1
100000.0,25000.0,15.0,12.0,2.0,0,0,1.0,0,1
725000.0,19000.0,15.0,35.0,3.0,0,0,2.0,0,0
25103.0,2541.0,15.0,12.0,0.0,1,1,3.0,1,0
800000.0,45000.0,15.0,36.0,2.0,0,0,6.0,1,0
850000.0,60000.0,15.0,60.0,0.0,0,2,0.2,1,1
258400.0,56000.0,15.0,12.0,36.0,1,1,3.0,0,0
350000.0,25900.0,15.0,24.0,2.0,0,2,3.0,1,0
450000.0,25000.0,15.0,36.0,0.0,1,1,1.0,1,0
500000.0,65000.0,15.0,12.0,2.0,0,0,2.0,1,0
575000.0,60000.0,15.0,48.0,2.0,0,2,3.0,0,1
600000.0,25700.0,15.0,48.0,3.0,1,1,6.0,0,0
1200000.0,90000.0,15.0,60.0,3.0,1,1,6.0,1,1
450000.0,5000.0,15.0,48.0,1.0,0,0,0.2,0,0
875000.0,39000.0,15.0,72.0,0.0,0,2,1.0,1,1
750000.0,25000.0,15.0,60.0,2.0,0,0,2.0,0,0
957000.0,25800.0,15.0,24.0,3.0,0,0,8.0,0,0
110000.0,65700.0,15.0,28.0,3.0,0,1,6.0,0,1
90000.0,85000.0,15.0,12.0,0.0,0,2,1.0,0,1
950000.0,6500.0,15.0,24.0,0.0,1,0,2.0,0,0
657000.0,17000.0,15.0,60.0,2.0,1,0,2.0,0,0
550000.0,65000.0,15.0,24.0,4.0,0,2,2.0,0,0
905000.0,29000.0,15.0,36.0,2.0,1,0,2.0,0,0
456000.0,60000.0,15.0,36.0,2.0,1,2,2.0,1,1
258000.0,36900.0,15.0,48.0,3.0,1,1,2.0,0,1
369000.0,36000.0,15.0,60.0,5.0,0,0,3.0,1,1
750000.0,75000.0,15.0,24.0,3.0,1,1,2.0,0,1
256000.0,9000.0,15.0,48.0,0.0,0,0,3.0,0,0
1600000.0,96000.0,15.0,60.0,2.0,1,2,3.0,1,1
1750000.0,120000.0,15.0,48.0,0.0,0,2,2.0,0,1
2500000.0,85000.0,15.0,36.0,3.0,0,2,2.0,1,0
285000.0,25000.0,15.0,12.0,5.0,1,1,0.0,1,0
850000.0,25800.0,15.0,12.0,1.0,0,0,2.0,0,0
449999.0,25800.0,15.0,24.0,3.0,0,0,5.0,0,0
900000.0,15000.0,15.0,36.0,0.0,1,0,2.0,0,0
458000.0,25900.0,15.0,12.0,3.0,1,1,8.0,0,0
850000.0,6000.0,15.0,24.0,0.0,0,0,4.0,0,0
120000.0,13500.0,15.0,24.0,1.0,1,0,4.0,0,1
258000.0,14000.0,15.0,36.0,2.0,1,0,3.0,1,0
485000.0,36000.0,15.0,36.0,4.0,0,2,3.0,0,0
960000.0,85000.0,15.0,60.0,3.0,0,0,4.0,0,1
1500000.0,85500.0,15.0,36.0,4.0,1,2,8.0,0,0
458000.0,25800.0,15.0,48.0,3.0,0,0,4.6,0,1
475000.0,55000.0,15.0,48.0,0.0,0,2,0.5,0,1
458000.0,26500.0,15.0,12.0,0.0,1,1,0.6,1,0
560000.0,50000.0,15.0,24.0,3.0,0,0,5.0,1,0
775000.0,90000.0,15.0,36.0,4.0,1,2,2.0,1,1
650000.0,25000.0,15.0,36.0,4.0,0,2,2.0,0,0
750000.0,65000.0,15.0,60.0,5.0,1,0,5.6,0,1
857000.0,45000.0,15.0,36.0,6.0,0,0,5.0,1,0
960000.0,120000.0,15.0,36.0,2.0,0,2,3.0,0,1
750000.0,45000.0,15.0,24.0,0.0,0,0,12.0,0,0
754000.0,69000.0,15.0,48.0,2.0,0,2,2.0,1,1
120000.0,25000.0,15.0,12.0,2.0,0,0,2.0,0,1
250000.0,65000.0,15.0,36.0,1.0,1,2,2.5,0,1
852000.0,23000.0,15.0,24.0,3.0,1,1,3.4,0,0
90000.0,23000.0,15.0,12.0,2.0,1,1,0.2,1,1
125000.0,36000.0,15.0,24.0,2.0,0,0,3.6,1,1
260000.0,33000.0,15.0,12.0,3.0,0,0,1.5,0,0
365000.0,9650.0,15.0,12.0,0.0,1,0,2.5,0,0
650000.0,21000.0,15.0,48.0,3.0,1,2,2.6,1,0
655000.0,55000.0,15.0,60.0,5.0,1,1,6.0,0,1
690000.0,42000.0,15.0,36.0,4.0,0,2,1.5,0,0
1200000.0,30000.0,15.0,72.0,0.0,0,2,2.5,0,0
650000.0,52000.0,15.0,24.0,2.0,0,0,2.6,1,0
960000.0,65000.0,15.0,24.0,3.0,0,2,1.0,0,0
96000.0,10000.0,15.0,12.0,3.0,1,1,2.5,1,0
658000.0,32500.0,15.0,36.0,5.0,0,0,2.6,1,0
290000.0,54000.0,15.0,24.0,2.0,1,1,3.6,1,1
875500.0,75500.0,15.0,24.0,1.0,1,1,2.6,1,0
657000.0,57000.0,15.0,36.0,0.0,1,2,1.2,1,1
945000.0,45000.0,15.0,24.0,3.0,0,1,5.2,1,0
1000000.0,65000.0,15.0,36.0,2.0,1,1,2.0,1,1
1050000.0,32500.0,15.0,96.0,3.0,1,0,2.6,1,0
1060000.0,650000.0,15.0,72.0,0.0,1,2,1.0,1,1
1075000.0,90000.0,15.0,36.0,3.0,0,1,4.0,0,1
1090000.0,65000.0,15.0,72.0,4.0,1,0,3.0,0,1
1095000.0,120000.0,15.0,36.0,3.0,0,2,4.0,1,1
650000.0,85000.0,15.0,36.0,0.0,1,2,2.0,1,1
1100000.0,97000.0,15.0,72.0,4.0,1,0,5.0,1,1
1150000.0,70000.0,15.0,48.0,3.0,0,2,4.0,0,1
1175000.0,65000.0,15.0,48.0,5.0,1,1,5.0,0,0
1180000.0,135000.0,15.0,48.0,3.0,0,0,3.0,0,1
1500000.0,135000.0,15.0,36.0,0.0,1,0,7.0,1,1
645000.0,12000.0,15.0,36.0,2.0,0,0,6.5,0,0
145000.0,63000.0,15.0,24.0,5.0,0,0,6.0,0,1
450000.0,56000.0,15.0,12.0,3.0,0,0,4.5,1,0
850000.0,90000.0,15.0,12.0,4.0,1,1,4.6,1,0
785000.0,6500.0,15.0,96.0,4.0,1,0,6.5,0,0
125000.0,45000.0,15.0,12.0,3.0,0,2,1.0,1,1
960000.0,65000.0,15.0,38.0,3.0,1,1,2.0,1,1
455000.0,55000.0,15.0,36.0,1.0,0,0,2.5,0,1
875000.0,6000.0,15.0,48.0,5.0,0,2,5.0,1,0
545000.0,65000.0,15.0,72.0,0.0,1,2,2.5,0,1
650000.0,55000.0,15.0,24.0,3.0,0,0,4.6,1,0
750000.0,25000.0,15.0,24.0,0.0,0,0,6.0,0,0
745000.0,32000.0,15.0,36.0,3.0,0,1,4.0,1,0
425000.0,25000.0,15.0,48.0,4.0,1,0,6.0,0,0
542000.0,42000.0,15.0,48.0,5.0,0,0,4.5,0,1
965000.0,65000.0,15.0,24.0,0.0,0,2,1.2,0,0
875400.0,54000.0,15.0,24.0,0.0,1,2,4.0,0,0
657000.0,57000.0,15.0,48.0,4.0,0,0,4.0,1,1
1500000.0,50000.0,15.0,48.0,2.0,0,1,0.5,0,0
950000.0,45000.0,15.0,48.0,2.0,1,2,1.5,0,0
120000.0,750000.0,15.0,72.0,3.0,1,2,2.5,1,1
1750000.0,950000.0,15.0,48.0,2.0,1,1,1.5,0,1
450000.0,75000.0,15.0,96.0,1.0,0,0,0.5,1,1
125000.0,65000.0,15.0,48.0,3.0,1,1,3.5,1,1
850000.0,45000.0,15.0,48.0,2.0,0,1,2.5,1,1
965000.0,65000.0,15.0,48.0,2.0,1,1,1.5,1,1
754000.0,45000.0,15.0,24.0,1.0,0,1,1.5,1,0
120000.0,36000.0,15.0,48.0,4.0,1,1,1.5,1,1
785000.0,25000.0,15.0,24.0,3.0,0,0,4.5,1,0
458000.0,25800.0,15.0,24.0,3.0,0,0,4.5,0,0
1575000.0,140000.0,15.0,24.0,0.0,1,2,0.5,0,1
758000.0,65000.0,15.0,12.0,2.0,0,0,1.5,1,0
1257000.0,75000.0,15.0,12.0,0.0,1,1,1.5,0,0
857000.0,57000.0,15.0,36.0,5.0,0,0,4.5,0,0
960000.0,45000.0,15.0,36.0,5.0,0,0,4.6,1,0
575000.0,75000.0,15.0,48.0,1.0,1,2,2.5,0,1
550000.0,25000.0,15.0,36.0,0.0,0,0,4.5,0,0
595000.0,59000.0,15.0,48.0,1.0,1,1,2.5,1,1
557000.0,57000.0,15.0,48.0,3.0,0,0,2.0,0,1
300000.0,45500.0,15.0,48.0,4.0,1,0,5.6,1,1
350000.0,75000.0,15.0,48.0,4.0,0,2,2.5,0,1
390000.0,15000.0,15.0,24.0,3.0,1,1,2.0,0,0
345000.0,34000.0,15.0,12.0,0.0,0,0,1.0,0,0
325000.0,35000.0,15.0,38.0,2.0,1,0,2.5,1,1
457000.0,57000.0,15.0,38.0,4.0,0,0,4.5,1,1
575000.0,57000.0,15.0,48.0,6.0,0,0,6.0,0,1
175000.0,14000.0,15.0,3.0,4.0,1,1,5.0,1,0
450000.0,65000.0,15.0,12.0,2.0,1,1,3.0,1,0
456000.0,56000.0,15.0,12.0,0.0,0,0,5.0,0,0
805000.0,45000.0,15.0,36.0,2.0,0,0,4.0,0,0
857000.0,75000.0,15.0,48.0,2.0,1,0,5.0,0,1
690000.0,250000.0,15.0,12.0,0.0,1,2,2.0,0,1
485000.0,45000.0,15.0,36.0,0.0,1,1,0.0,1,1
250000.0,52000.0,15.0,24.0,0.0,0,0,4.5,1,1
758000.0,58000.0,15.0,48.0,2.0,0,0,4.0,1,1
758000.0,58000.0,15.0,48.0,6.0,0,0,6.0,1,1
450000.0,85000.0,15.0,48.0,0.0,1,1,1.0,0,1
857000.0,57000.0,15.0,36.0,3.0,0,0,2.5,1,0
960000.0,60000.0,15.0,48.0,2.0,1,2,2.5,0,1
875000.0,55000.0,15.0,12.0,0.0,1,1,2.5,1,0
960000.0,65000.0,15.0,24.0,4.0,0,0,2.5,1,0
785000.0,75000.0,15.0,48.0,2.0,0,0,2.6,0,1
895000.0,35000.0,15.0,36.0,2.0,0,2,2.6,1,0
225000.0,15000.0,15.0,48.0,0.0,0,0,2.0,1,1
965000.0,45000.0,15.0,12.0,3.0,0,0,3.5,0,0
965000.0,65000.0,15.0,24.0,2.0,0,2,1.0,0,0
575000.0,48000.0,15.0,48.0,5.0,1,1,3.0,0,1
458000.0,47500.0,15.0,60.0,3.0,0,0,2.5,1,1
865000.0,45800.0,15.0,48.0,3.0,0,0,2.0,0,0
500000.0,36000.0,15.0,36.0,2.0,0,0,5.0,1,1
965000.0,56000.0,15.0,48.0,3.0,0,0,4.5,1,1
856000.0,56000.0,15.0,60.0,8.0,0,2,2.5,1,1
850000.0,50000.0,15.0,24.0,3.0,0,0,5.3,1,0
785000.0,75000.0,15.0,12.0,4.0,0,1,23.0,1,0
1250000.0,50000.0,15.0,24.0,1.0,1,1,2.5,0,0
850000.0,45000.0,15.0,24.0,3.0,0,0,2.6,0,0
458000.0,58000.0,15.0,48.0,4.0,1,0,4.5,1,1
2500000.0,230000.0,15.0,72.0,0.0,1,1,0.5,1,1
2500000.0,23000.0,15.0,72.0,0.0,1,1,0.5,0,0
2350000.0,85000.0,15.0,60.0,0.0,1,1,0.5,0,0
700000.0,12500.0,15.0,48.0,0.0,0,0,3.5,1,0
500000.0,96000.0,15.0,48.0,3.0,0,0,0.6,0,1
850000.0,85000.0,15.0,48.0,2.0,1,2,2.5,0,1
475000.0,75000.0,15.0,48.0,4.0,0,0,5.4,0,1
475000.0,24000.0,15.0,36.0,0.0,1,0,2.0,0,0
450000.0,50000.0,15.0,24.0,2.0,0,0,2.0,0,1
785000.0,85000.0,15.0,36.0,3.0,0,2,1.5,0,1
475000.0,75000.0,15.0,12.0,3.0,0,0,2.6,1,0
900000.0,45000.0,15.0,12.0,3.0,0,0,5.0,1,0
458000.0,58000.0,15.0,48.0,2.0,0,2,5.0,0,1
865000.0,65000.0,15.0,36.0,3.0,0,2,3.0,0,1
850000.0,50000.0,15.0,36.0,2.0,0,2,2.0,1,0
450000.0,25000.0,15.0,48.0,1.0,1,1,2.0,1,1
900000.0,52000.0,15.0,48.0,0.0,1,1,2.0,1,1
487000.0,87000.0,15.0,48.0,1.0,0,2,1.0,0,1
125000.0,15000.0,15.0,36.0,1.0,0,0,3.0,0,1
785000.0,60000.0,15.0,48.0,2.0,0,0,2.0,1,1
485000.0,48000.0,15.0,48.0,0.0,0,0,2.0,0,1
650000.0,45000.0,15.0,12.0,0.0,0,0,2.0,0,0
750000.0,50000.0,15.0,48.0,3.0,1,1,2.0,0,1
485000.0,85000.0,15.0,36.0,1.0,0,2,2.0,0,1
750000.0,57000.0,15.0,36.0,0.0,1,1,4.0,1,1
650000.0,45000.0,15.0,36.0,0.0,0,0,3.0,0,1
960000.0,96000.0,15.0,36.0,2.0,0,0,0.0,1,1
750000.0,50000.0,15.0,36.0,0.0,0,0,2.0,0,1
950000.0,45000.0,15.0,36.0,0.0,0,0,2.0,0,0
458000.0,58000.0,15.0,12.0,0.0,1,0,2.0,0,0
150000.0,50000.0,15.0,12.0,2.0,1,1,2.0,0,1
850000.0,45000.0,15.0,12.0,3.0,0,0,2.0,1,0
875000.0,23000.0,15.0,48.0,0.0,0,0,2.0,0,0
458000.0,85000.0,15.0,24.0,3.0,0,0,2.0,0,1
875000.0,75000.0,15.0,12.0,2.0,0,2,2.0,0,0
600000.0,25000.0,15.0,36.0,0.0,0,0,2.0,0,0
650000.0,45000.0,15.0,24.0,2.0,0,2,4.0,0,0
950000.0,24000.0,15.0,12.0,1.0,0,0,0.5,1,0
578000.0,78000.0,15.0,24.0,0.0,1,1,2.0,1,1
457000.0,75000.0,15.0,24.0,0.0,1,0,3.0,1,1
1050000.0,47000.0,15.0,36.0,2.0,0,0,2.0,0,0
1057000.0,57000.0,15.0,48.0,2.0,0,2,2.0,0,1
475000.0,16000.0,15.0,23.0,2.0,0,1,1.0,1,0
785000.0,15700.0,15.0,48.0,2.0,0,1,2.0,0,0
960000.0,56000.0,15.0,48.0,4.0,0,0,2.0,0,0
2500000.0,65000.0,15.0,36.0,0.0,1,0,1.0,0,0
458000.0,58000.0,15.0,36.0,4.0,0,0,3.0,1,1
485000.0,36000.0,15.0,48.0,0.0,1,1,2.0,0,1
875000.0,75000.0,15.0,48.0,2.0,0,0,3.0,0,1
457000.0,42000.0,15.0,12.0,3.0,0,1,5.0,1,0
1200000.0,25000.0,15.0,48.0,3.0,0,0,3.0,0,0
1300000.0,24000.0,15.0,48.0,2.0,0,0,3.0,1,0
1350000.0,45000.0,15.0,48.0,0.0,1,1,3.0,0,0
1375000.0,48000.0,15.0,36.0,4.0,0,0,5.0,0,0
1380000.0,80000.0,15.0,60.0,0.0,0,2,2.0,0,1
1390000.0,56000.0,15.0,48.0,2.0,0,0,3.0,0,0
1390000.0,85000.0,15.0,72.0,5.0,0,0,3.0,0,1
1400000.0,46000.0,15.0,48.0,2.0,0,2,2.0,1,0
1450000.0,95000.0,15.0,48.0,2.0,0,1,2.0,1,1
1425000.0,75000.0,15.0,60.0,4.0,0,0,3.0,1,0
1475000.0,86000.0,15.0,48.0,3.0,0,1,2.0,1,1
1480000.0,25000.0,15.0,72.0,3.0,0,0,3.0,0,0
120000.0,25000.0,15.0,24.0,3.0,0,0,3.0,1,1
750000.0,45000.0,15.0,36.0,3.0,1,1,2.0,0,0
1475000.0,25000.0,15.0,60.0,4.0,0,0,3.0,0,0
1490000.0,120000.0,15.0,60.0,1.0,0,2,2.0,0,1
1700000.0,450000.0,15.0,72.0,1.0,0,0,1.0,0,1
300000.0,24000.0,15.0,36.0,2.0,1,1,2.0,1,1
345000.0,23000.0,15.0,24.0,3.0,0,0,3.0,1,0
375000.0,45000.0,15.0,24.0,3.0,0,2,2.0,0,1
78500.0,25000.0,15.0,12.0,4.0,0,0,5.0,0,1
457500.0,36000.0,15.0,36.0,5.0,0,0,2.0,0,0
750000.0,45700.0,15.0,24.0,3.0,0,0,2.0,0,0
500000.0,75000.0,15.0,36.0,2.0,0,0,2.0,1,1
750000.0,2.0,15.0,24.0,0.0,0,0,1.0,1,0
457000.0,25000.0,15.0,36.0,4.0,0,0,2.0,0,0
754000.0,54000.0,15.0,36.0,2.0,0,0,4.0,1,1
750000.0,45000.0,15.0,36.0,2.0,0,2,4.0,0,0
750000.0,65000.0,15.0,48.0,3.0,0,0,2.0,0,1
475000.0,75000.0,15.0,60.0,0.0,0,0,2.0,0,1
850000.0,90000.0,15.0,60.0,4.0,0,0,2.0,0,1
457000.0,57000.0,15.0,36.0,0.0,1,0,1.0,1,1
457000.0,25000.0,15.0,36.0,2.0,1,1,0.0,1,0
500000.0,45000.0,15.0,24.0,2.0,0,0,2.0,0,0
525000.0,25000.0,15.0,48.0,2.0,0,0,3.0,0,0
550000.0,75000.0,15.0,36.0,4.0,0,2,2.0,1,1
575000.0,24600.0,15.0,36.0,0.0,0,0,2.0,1,0
590000.0,45000.0,15.0,48.0,2.0,1,1,4.0,1,1
590000.0,55000.0,15.0,48.0,3.0,0,0,4.0,1,1
500000.0,25000.0,15.0,36.0,2.0,1,1,4.0,1,0
600000.0,60000.0,15.0,48.0,2.0,0,0,2.0,0,1
750000.0,75000.0,15.0,36.0,2.0,0,0,4.0,1,1
750000.0,25000.0,15.0,48.0,0.0,1,1,2.0,1,0
457000.0,57000.0,15.0,48.0,3.0,0,0,2.5,1,1
450000.0,25000.0,15.0,36.0,2.0,0,0,2.0,1,0
850000.0,50000.0,15.0,12.0,3.0,0,0,2.0,1,0
785000.0,85000.0,15.0,48.0,2.0,0,2,1.0,0,1
650000.0,45000.0,15.0,60.0,3.0,0,0,0.5,0,1
457000.0,57000.0,15.0,36.0,2.0,0,0,2.0,0,1
960000.0,75000.0,15.0,60.0,0.0,0,1,2.5,0,1
1250000.0,120000.0,15.0,48.0,1.0,1,1,4.0,0,1
713000.0,138600.0,15.0,96.0,0.0,1,0,0.0,0,1
981000.0,165200.0,15.0,96.0,6.0,0,1,0.0,0,1
1216000.0,154200.0,15.0,96.0,5.0,1,0,0.0,1,1
1061000.0,10900.0,15.0,24.0,1.0,0,0,0.0,0,0
968000.0,30300.0,15.0,84.0,3.0,1,0,0.0,0,0
1483000.0,152000.0,15.0,84.0,4.0,1,0,0.0,1,1
332000.0,100900.0,15.0,24.0,0.0,0,0,0.0,1,1
1138000.0,152400.0,15.0,60.0,0.0,0,0,0.0,0,1
1480000.0,68600.0,15.0,48.0,5.0,1,0,0.0,0,0
606000.0,10100.0,15.0,60.0,3.0,0,0,0.0,1,0
878000.0,154000.0,15.0,12.0,6.0,1,2,0.0,1,0
495000.0,43200.0,15.0,84.0,5.0,0,2,0.0,1,1
478000.0,116100.0,15.0,36.0,2.0,0,2,0.0,0,1
446000.0,54900.0,15.0,60.0,0.0,1,1,0.0,1,1
394000.0,22200.0,15.0,24.0,6.0,1,1,0.0,1,0
847000.0,132200.0,15.0,12.0,5.0,0,0,0.0,0,0
323000.0,89600.0,15.0,48.0,6.0,0,0,0.0,1,1
1297000.0,80300.0,15.0,24.0,2.0,1,0,0.0,0,0
591000.0,26900.0,15.0,48.0,0.0,1,0,0.0,1,0
782000.0,110400.0,15.0,60.0,5.0,1,0,0.0,0,1
942000.0,51100.0,15.0,24.0,3.0,0,1,0.0,1,0
884000.0,63500.0,15.0,60.0,5.0,0,2,0.0,0,1
909000.0,28900.0,15.0,72.0,4.0,0,2,0.0,1,0
1304000.0,142000.0,15.0,36.0,5.0,0,0,0.0,1,1
472000.0,87800.0,15.0,48.0,6.0,0,2,0.0,0,1
1482000.0,63700.0,15.0,48.0,4.0,1,1,0.0,1,0
614000.0,162800.0,15.0,12.0,5.0,0,2,0.0,1,1
1482000.0,163700.0,15.0,84.0,2.0,1,1,0.0,1,1
948000.0,26500.0,15.0,96.0,2.0,1,0,0.0,1,0
975000.0,128800.0,15.0,12.0,5.0,0,0,0.0,1,0
971000.0,125500.0,15.0,36.0,2.0,0,2,0.0,1,1
375000.0,56400.0,15.0,48.0,4.0,1,2,0.0,0,1
1364000.0,129300.0,15.0,48.0,5.0,1,2,0.0,1,1
405000.0,47600.0,15.0,84.0,5.0,1,2,0.0,1,1
360000.0,12200.0,15.0,96.0,2.0,1,1,0.0,1,0
907000.0,27900.0,15.0,48.0,6.0,1,1,0.0,0,0
1201000.0,139200.0,15.0,36.0,2.0,1,0,0.0,0,1
1496000.0,74100.0,15.0,48.0,5.0,0,1,0.0,1,0
1478000.0,139100.0,15.0,12.0,0.0,1,2,0.0,0,0
689000.0,18400.0,15.0,36.0,2.0,1,1,0.0,1,0
541000.0,102200.0,15.0,60.0,0.0,0,2,0.0,0,1
803000.0,77900.0,15.0,60.0,5.0,1,0,0.0,0,1
625000.0,73400.0,15.0,36.0,6.0,1,1,0.0,1,1
346000.0,56400.0,15.0,72.0,0.0,1,1,0.0,0,1
419000.0,121200.0,15.0,48.0,3.0,0,0,0.0,0,1
1276000.0,158200.0,15.0,96.0,1.0,1,2,0.0,0,1
548000.0,15200.0,15.0,36.0,1.0,1,2,0.0,0,0
418000.0,83900.0,15.0,72.0,0.0,1,1,0.0,0,1
1118000.0,20300.0,15.0,60.0,2.0,1,1,0.0,0,0
635000.0,46100.0,15.0,24.0,4.0,0,2,0.0,0,0
595000.0,64200.0,15.0,36.0,1.0,1,2,0.0,1,1
375000.0,131300.0,15.0,96.0,1.0,0,1,0.0,1,1
1218000.0,168000.0,15.0,96.0,4.0,0,0,0.0,1,1
1266000.0,99700.0,15.0,84.0,4.0,0,2,0.0,1,1
1072000.0,41400.0,15.0,72.0,3.0,0,0,0.0,1,0
1356000.0,155000.0,15.0,60.0,4.0,1,2,0.0,1,1
943000.0,130800.0,15.0,72.0,3.0,0,0,0.0,0,1
567000.0,102600.0,15.0,24.0,3.0,0,2,0.0,1,1
790000.0,27500.0,15.0,48.0,3.0,0,1,0.0,0,0
767000.0,113200.0,15.0,60.0,1.0,1,1,0.0,0,1
942000.0,164900.0,15.0,12.0,5.0,0,0,0.0,0,0
847000.0,99000.0,15.0,24.0,3.0,1,1,0.0,0,1
1296000.0,117800.0,15.0,36.0,3.0,1,1,0.0,0,1
704000.0,30900.0,15.0,96.0,6.0,1,1,0.0,0,0
338000.0,71600.0,15.0,96.0,3.0,1,0,0.0,1,1
1456000.0,65900.0,15.0,24.0,6.0,1,2,0.0,1,0
1014000.0,79500.0,15.0,12.0,3.0,1,0,0.0,0,0
1204000.0,23200.0,15.0,36.0,1.0,0,2,0.0,1,0
987000.0,88100.0,15.0,36.0,5.0,0,0,0.0,0,0
1417000.0,92100.0,15.0,72.0,6.0,1,1,0.0,1,0
1220000.0,46300.0,15.0,24.0,5.0,0,2,0.0,0,0
1350000.0,63700.0,15.0,84.0,4.0,0,2,0.0,0,0
973000.0,71600.0,15.0,60.0,1.0,1,2,0.0,0,1
1040000.0,163500.0,15.0,12.0,6.0,0,2,0.0,0,0
400000.0,112200.0,15.0,96.0,1.0,1,2,0.0,0,1
935000.0,98200.0,15.0,12.0,2.0,0,1,0.0,1,0
526000.0,76100.0,15.0,24.0,0.0,0,0,0.0,1,1
1131000.0,157900.0,15.0,60.0,5.0,0,2,0.0,1,1
425000.0,66300.0,15.0,48.0,2.0,0,2,0.0,1,1
631000.0,22100.0,15.0,96.0,1.0,1,0,0.0,0,1
1160000.0,135700.0,15.0,84.0,6.0,1,0,0.0,0,1
1132000.0,68400.0,15.0,96.0,1.0,0,1,0.0,1,1
